scenario,family,variant,daily_observations,signal_dates,available_tickers,inference_dropped_tickers,cagr_mean,cagr_median,cagr_p10,maxdd_mean,maxdd_p10,sharpe_mean,concentrated_100pct_rate,score_keys_identical,max_abs_score_delta,monthly_score_rank_correlation,unrestricted_top1_agreement,basket_top1_agreement,basket_top2_ordered_agreement,basket_top2_set_agreement,concentration_regime_agreement,decision_count,cagr_delta_vs_baseline_pp,maxdd_delta_vs_baseline_pp,sharpe_delta_vs_baseline,fraction_baskets_beating_baseline,elapsed_seconds
TRAIN_TICKER_DROPOUT_10PCT,ticker_training,CONSENSUS_MULTI,2366,113,148,0,0.1829541846208743,0.1882962381998155,0.0939846930315913,-0.3653530133870684,-0.4679179849666512,0.7580111634804316,0.1105486725663716,True,0.4162162162162161,0.969208254485421,0.495575221238938,0.6559469026548672,0.361787610619469,0.4774513274336283,0.8851504424778761,56500,0.6817222963451275,6.661185859437485,0.0513080761583777,0.526,295.7423985004425
TRAIN_TICKER_DROPOUT_10PCT,ticker_training,BASELINE_21,2366,113,148,0,0.176136961657423,0.180804244603868,0.0201857530065546,-0.4319648719814433,-0.6321323171145421,0.7067030873220539,0.0727256637168141,True,0.4162162162162161,0.9592584941082823,0.4867256637168141,0.631858407079646,0.3411681415929203,0.4652566371681416,0.916991150442478,56500,0.0,0.0,0.0,0.0,295.7423985004425
TRAIN_TICKER_DROPOUT_10PCT,ticker_training,MULTI_45_35_20,2366,113,148,0,0.1803518845930829,0.1840337861953821,0.0750769856956011,-0.4033611131136833,-0.5417062291063669,0.7296858765788168,0.0910973451327433,True,0.402027027027027,0.9630086364681348,0.3893805309734513,0.6256814159292036,0.3342477876106194,0.4478053097345132,0.8992566371681416,56500,0.4214922935659893,2.860375886775995,0.0229827892567628,0.528,295.7423985004425
FEATURE_NOISE_0_5PCT,price_vintage,CONSENSUS_MULTI,2366,113,148,0,0.202766489327504,0.2021659191119196,0.1234867072355555,-0.3412877563711431,-0.4392869463105478,0.8371135288768576,0.1079115044247787,True,0.4398648648648648,0.9738435621169058,0.5663716814159292,0.6943716814159292,0.4227433628318584,0.5457522123893805,0.9056283185840708,56500,3.155855938972074,7.3274953998133885,0.1367858787959031,0.628,330.37185502052307
FEATURE_NOISE_0_5PCT,price_vintage,MULTI_45_35_20,2366,113,148,0,0.1748161902105667,0.1743672377572217,0.0817963723226587,-0.3919763094627147,-0.5081756306003914,0.7241681474106447,0.0863008849557522,True,0.4256756756756757,0.9730093233790372,0.5663716814159292,0.6895044247787611,0.4068672566371681,0.5205309734513275,0.9120530973451328,56500,0.3608260272783409,2.2586400906562334,0.0238404973296901,0.51,330.37185502052307
FEATURE_NOISE_0_5PCT,price_vintage,BASELINE_21,2366,113,148,0,0.1712079299377833,0.1733357524349883,0.0502874837416992,-0.414562710369277,-0.5817150430680009,0.7003276500809545,0.0750973451327433,True,0.3405405405405405,0.9757656398599548,0.5132743362831859,0.7078230088495575,0.4295398230088496,0.556566371681416,0.9275398230088496,56500,0.0,0.0,0.0,0.0,330.37185502052307
FEATURE_NOISE_1PCT,price_vintage,MULTI_45_35_20,2366,113,148,0,0.189087752833594,0.1888838725927067,0.1053105651761291,-0.3894619581421368,-0.4992485617058416,0.7658862547779484,0.0889380530973451,True,0.3831081081081081,0.9766916549915406,0.6371681415929203,0.6908672566371682,0.4096637168141593,0.5277522123893805,0.911150442477876,56500,1.3243040481554087,2.76983953784124,0.0599226362644039,0.574,272.7996292114258
FEATURE_NOISE_1PCT,price_vintage,CONSENSUS_MULTI,2366,113,148,0,0.2031025965225016,0.2016023585855,0.1284397616302826,-0.3538037806545409,-0.4438529245106618,0.8291943691908304,0.1004778761061946,True,0.4777027027027027,0.9720485543265882,0.5309734513274337,0.6844955752212389,0.4089026548672566,0.5297522123893805,0.9013097345132745,56500,2.7257884170461684,6.335657286600838,0.123230750677286,0.656,272.7996292114258
FEATURE_NOISE_1PCT,price_vintage,BASELINE_21,2366,113,148,0,0.1758447123520399,0.1725550791069385,0.0581511665282817,-0.4171603535205492,-0.5745967418550794,0.7059636185135444,0.0732566371681416,True,0.3452702702702702,0.974217350170668,0.5221238938053098,0.6853628318584071,0.407858407079646,0.5354867256637168,0.9243185840707964,56500,0.0,0.0,0.0,0.0,272.7996292114258
FEATURE_NOISE_2PCT,price_vintage,MULTI_45_35_20,2366,113,148,0,0.1890496267188255,0.1887405011249253,0.0945934184447655,-0.365912968496974,-0.4811466813516915,0.7716760626149975,0.0896814159292035,True,0.5202702702702702,0.9733643395354886,0.5575221238938053,0.6735221238938053,0.3884424778761062,0.5086548672566372,0.9089557522123892,56500,0.8901596638862364,4.01142758300963,0.0427873295726212,0.554,274.17358565330505
FEATURE_NOISE_2PCT,price_vintage,BASELINE_21,2366,113,148,0,0.1801480300799632,0.1853741492645988,0.0675089306474813,-0.4060272443270703,-0.5555409248651555,0.7288887330423763,0.0748672566371681,True,0.3405405405405405,0.9677377210564126,0.495575221238938,0.67270796460177,0.3857522123893805,0.5084955752212389,0.9224955752212388,56500,0.0,0.0,0.0,0.0,274.17358565330505
FEATURE_NOISE_2PCT,price_vintage,CONSENSUS_MULTI,2366,113,148,0,0.2078600357668007,0.2093720755808666,0.1213565187598454,-0.3411700232168415,-0.4360337226710268,0.8458300820064975,0.105646017699115,True,0.420945945945946,0.97128915989915,0.5929203539823009,0.6907433628318584,0.4212389380530973,0.5344955752212389,0.9013451327433628,56500,2.7712005686837515,6.485722111022879,0.1169413489641211,0.664,274.17358565330505
LIVE_MISSING_5PCT_R1,ticker_live,BASELINE_21,2366,113,141,7,0.1767703913343793,0.1679456645235247,0.0579798106074759,-0.4255501798130437,-0.616493006615447,0.7132108024980395,0.0877345132743362,False,0.0,1.0,0.9469026548672568,0.9164778761061948,0.8311681415929204,0.8311681415929204,0.972566371681416,56500,0.0,0.0,0.0,0.0,100.68357133865356
LIVE_MISSING_5PCT_R1,ticker_live,MULTI_45_35_20,2366,113,141,7,0.1872607507441149,0.184047740476972,0.0962717438725485,-0.3822024953694884,-0.5024349652491867,0.76775244534004,0.0987433628318584,False,0.0,1.0,0.9203539823008848,0.9006194690265487,0.8184778761061947,0.8184778761061947,0.9681769911504424,56500,1.0490359409735583,4.334768444355536,0.0545416428420004,0.586,100.68357133865356
LIVE_MISSING_5PCT_R1,ticker_live,CONSENSUS_MULTI,2366,113,141,7,0.192765993139977,0.1927491303843923,0.1065225637080739,-0.3569681067106656,-0.4527925240768339,0.804466806476735,0.1166902654867256,False,0.0,1.0,0.911504424778761,0.8936106194690265,0.8100353982300885,0.8100353982300885,0.964212389380531,56500,1.599560180559767,6.858207310237818,0.0912560039786954,0.618,100.68357133865356
LIVE_MISSING_5PCT_R2,ticker_live,BASELINE_21,2366,113,141,7,0.1851748259210994,0.1783789102169243,0.0603856937487594,-0.4154649638685511,-0.6089759541196562,0.737221121745741,0.0788672566371681,False,0.0,1.0,0.9823008849557522,0.9644778761061948,0.9227964601769912,0.9227964601769912,0.986353982300885,56500,0.0,0.0,0.0,0.0,123.42806220054626
LIVE_MISSING_5PCT_R2,ticker_live,MULTI_45_35_20,2366,113,141,7,0.1991932899117987,0.195177689912137,0.105316872194318,-0.372574576502916,-0.4911672915550716,0.7981005169535307,0.0950619469026548,False,0.0,1.0,0.9734513274336284,0.9607433628318583,0.9136814159292036,0.9136814159292036,0.9855575221238938,56500,1.401846399069928,4.2890387365635165,0.0608793952077897,0.596,123.42806220054626
LIVE_MISSING_5PCT_R2,ticker_live,CONSENSUS_MULTI,2366,113,141,7,0.205487328523145,0.2039244031314958,0.1140219821355021,-0.3504819454003818,-0.4545395761020581,0.8351876123367006,0.1154867256637168,False,0.0,1.0,0.9557522123893806,0.9492035398230088,0.8902123893805309,0.8902123893805309,0.9812389380530974,56500,2.031250260204565,6.498301846816928,0.0979664905909596,0.626,123.42806220054626
