signal_date,entry_date,exit_date,basket,top1,top2,top1_score,top2_score,margin,top1_weight,top2_weight
2026-05-29,2026-06-01,2026-07-01,60,EZA,UNG,0.9798657718120806,0.959731543624161,0.020134228187919545,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,61,BNO,HACK,1.0,0.9530201342281879,0.046979865771812124,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,62,EZA,HACK,0.9798657718120806,0.9530201342281879,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,63,XLE,TUR,0.9060402684563759,0.8993288590604027,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,64,GSG,EZA,0.9865771812080537,0.9798657718120806,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,65,GSG,EWY,0.9865771812080537,0.8926174496644296,0.09395973154362414,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,66,BNO,USL,1.0,0.9932885906040269,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,67,GSG,GDXJ,0.9865771812080537,0.9463087248322147,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,68,BNO,UNG,1.0,0.959731543624161,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,69,DBO,KWEB,0.9664429530201343,0.8657718120805369,0.10067114093959739,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,70,GDXJ,XLE,0.9463087248322147,0.9060402684563759,0.04026845637583887,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,71,EZA,PALL,0.9798657718120806,0.9194630872483222,0.06040268456375841,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,72,GDXJ,PPLT,0.9463087248322147,0.9395973154362416,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,73,HACK,COMT,0.9530201342281879,0.9328859060402684,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,74,USL,GSG,0.9932885906040269,0.9865771812080537,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,75,EZA,PPLT,0.9798657718120806,0.9395973154362416,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,76,BNO,MTUM,1.0,0.8590604026845637,0.14093959731543626,1.0,0.0
2026-05-29,2026-06-01,2026-07-01,77,GSG,HACK,0.9865771812080537,0.9530201342281879,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,78,GSG,MTUM,0.9865771812080537,0.8590604026845637,0.12751677852348997,1.0,0.0
2026-05-29,2026-06-01,2026-07-01,79,BNO,EZA,1.0,0.9798657718120806,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,80,UNG,HACK,0.959731543624161,0.9530201342281879,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,81,BNO,EZA,1.0,0.9798657718120806,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,82,DBO,COMT,0.9664429530201343,0.9328859060402684,0.033557046979865834,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,83,USO,UNG,0.9731543624161074,0.959731543624161,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,84,EZA,DBO,0.9798657718120806,0.9664429530201343,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,85,BNO,USL,1.0,0.9932885906040269,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,86,GSG,USO,0.9865771812080537,0.9731543624161074,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,87,USO,GDXJ,0.9731543624161074,0.9463087248322147,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,88,EZA,USO,0.9798657718120806,0.9731543624161074,0.006711409395973145,0.75,0.25
