family,feature,exists,missing_rate,std
TAIL,corr_mkt63_rank,True,0.13158301158301158,0.2886720473857956
TAIL,corr_mkt126_rank,True,0.142985842985843,0.28867209083922446
TAIL,gkvol21_rank,True,0.12391248391248391,0.28867202014421095
TAIL,energy_21_rank,True,0.12406692406692407,0.28867201984527996
TAIL,vol_21_rank,True,0.12406692406692407,0.28867201984527996
TAIL,vol21_rank,True,0.12406692406692407,0.28867201984527996
TAIL,mom_21_5_rank,True,0.12406692406692407,0.28867196620401275
TAIL,vol126_rank,True,0.142985842985843,0.28867209083922446
TAIL,vol_126_rank,True,0.142985842985843,0.28867209083922446
TAIL,sma_ratio_100_rank,True,0.1368082368082368,0.2886720665596365
TAIL,slope_63_rank,True,0.13155727155727157,0.2886720477888968
TAIL,vol63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,vol_63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,downvol_63_rank,True,0.13158301158301158,0.2886720391822154
TAIL,downvol63_rank,True,0.13158301158301158,0.2886720391822154
TAIL,downvol126_rank,True,0.142985842985843,0.2886720884641578
TAIL,energy_63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,ret_126_rank,True,0.142985842985843,0.28867209083922446
TAIL,mom126_rank,True,0.142985842985843,0.28867209083922446
TAIL,max_gain63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,mom_63_5_rank,True,0.13158301158301158,0.2886720351866445
TAIL,positive_frac63_rank,True,0.011583011583011582,0.28514242581065435
TAIL,breakout_pos126_rank,True,0.14293436293436293,0.2878736511072225
TAIL,volume_ratio5_20_rank,True,0.12157014157014157,0.2886720093443767
TAIL,atr_ratio_rank,True,0.12406692406692407,0.28867201984527996
TAIL,amihud63_rank,True,0.12823680823680825,0.2886720281054602
TAIL,mom21_rank,True,0.12406692406692407,0.2886719579979651
TAIL,ret_21_rank,True,0.12406692406692407,0.2886719579979651
TAIL,kurt_63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,kurt63_rank,True,0.13158301158301158,0.28867204738579566
TAIL,amihud21_rank,True,0.12234234234234234,0.2886720027218265
TAIL,ema_gap50_rank,True,0.12857142857142856,0.2886720354557481
TAIL,sma_ratio_50_rank,True,0.12857142857142856,0.2886720354557481
TAIL,ma_gap50_rank,True,0.12857142857142856,0.2886720354557481
TAIL,sign_entropy63_rank,True,0.011583011583011582,0.28357622115380887
TAIL,volume_ratio20_63_rank,True,0.12777348777348776,0.28867203338906827
TAIL,jerk_rank,True,0.12406692406692407,0.28867201863482084
TAIL,breakout_pos252_rank,True,0.1641956241956242,0.2881500625936804
TAIL,ret_63_rank,True,0.13158301158301158,0.2886720400296342
TAIL,mom63_rank,True,0.13158301158301158,0.2886720400296342
TAIL,gap_vol21_rank,True,0.12406692406692407,0.28867201984527996
TAIL,mom42_rank,True,0.12787644787644786,0.28867201999155984
TAIL,ret_42_rank,True,0.12787644787644786,0.28867201999155984
TAIL,ret63_vol126_rank,True,0.142985842985843,0.288672083346439
TAIL,efficiency126_rank,True,0.142985842985843,0.2886720884641578
TAIL,eff_126_rank,True,0.142985842985843,0.2886720884641578
TAIL,acc_21_63_broad_rank,True,0.13158301158301158,0.28867204738579566
