basket,strategy,cagr,maxdd,sharpe,final_equity,router_active_months,direct_condition_months
268,DIRECT,0.2886629673057619,-0.3177935089357534,1.0374958176660622,10.874530436368694,28,8
268,ROUTER,0.28722877563665383,-0.3118848690910987,1.0409385341682231,10.76117664251721,28,8
269,BASE,0.16175311775575585,-0.323313061522552,0.7146620523256118,4.099405234501236,28,8
269,DIRECT,0.14084924575176738,-0.323313061522552,0.6397909152356402,3.455552783889512,28,8
269,ROUTER,0.15406873523150422,-0.323313061522552,0.686730322871485,3.8512316575786727,28,8
270,BASE,0.012190861090115801,-0.6076138892527727,0.2082856000086795,1.1207771268502489,28,9
270,DIRECT,-0.004271526038608475,-0.6516899732712714,0.16477457373920396,0.9605193770110018,28,9
270,ROUTER,0.009351428416166874,-0.636684632830107,0.20074769487975172,1.0915382897934567,28,9
271,BASE,0.07841482341219796,-0.4655587791913698,0.42286446929588895,2.0347666612169806,28,5
271,DIRECT,0.08403888044937102,-0.4789430731479766,0.44109061653249304,2.1368394031115527,28,5
271,ROUTER,0.08782711481761885,-0.4615548022410968,0.45468547418113137,2.2081481997343655,28,5
272,BASE,0.10257289906010825,-0.5770719647990976,0.4576851125411088,2.506412392455429,28,10
272,DIRECT,0.09539746680994643,-0.6271394628532898,0.4369125842373159,2.3570550711324785,28,10
272,ROUTER,0.09891682628568299,-0.6060994757039695,0.4475247083311239,2.429286328905688,28,10
273,BASE,0.14816226068220395,-0.40515788536587893,0.6572556945227462,3.6696981191456413,28,6
273,DIRECT,0.12376267241739747,-0.4248641076721015,0.5710876398510362,2.9981106694136095,28,6
273,ROUTER,0.1399718805362411,-0.4248641076721016,0.6280854338449982,3.4306266483534023,28,6
274,BASE,0.23864839105681757,-0.3958534281767119,0.934610541799818,7.4927362802915916,28,9
274,DIRECT,0.22658540470979438,-0.39585342817671176,0.8875652122898804,6.833538126292202,28,9
274,ROUTER,0.23441682024796595,-0.39585342817671176,0.9220103763508584,7.255297112989805,28,9
275,BASE,0.16825195217959066,-0.4120944697205856,0.6721200735631788,4.320342205790956,28,4
275,DIRECT,0.1676809966509809,-0.41209446972058494,0.6685128174085941,4.300514116429221,28,4
275,ROUTER,0.16609413579973853,-0.4120944697205857,0.6640734051771823,4.245832194167151,28,4
276,BASE,0.046599712900885715,-0.5801761498886977,0.30589728693470064,1.535095563837235,28,7
276,DIRECT,0.040984560201487774,-0.6187184993665387,0.28973736042585313,1.4593203274671516,28,7
276,ROUTER,0.048146111332987296,-0.6080177234098436,0.3103502858789003,1.5565721514897028,28,7
277,BASE,0.20152591528988206,-0.3512239169213315,0.7684794911541614,5.6271478237166335,28,7
277,DIRECT,0.19366460139432085,-0.3619548010115259,0.7402380267035399,5.290077771060469,28,7
277,ROUTER,0.19661173394231346,-0.3619548010115262,0.7516431986225969,5.414266350825051,28,7
278,BASE,0.30834124105014116,-0.25194669117203494,1.0935978679569351,12.541344722865805,28,10
278,DIRECT,0.32089309698908375,-0.27611290224780205,1.1089269489191405,13.72031090311667,28,10
278,ROUTER,0.3009709464005732,-0.27611290224780194,1.0691084094063337,11.892066089833214,28,10
279,BASE,0.35159435254456883,-0.42689260522296524,1.1721715483934871,17.03191306397356,28,8
279,DIRECT,0.34189115731328745,-0.4928229311183244,1.1369431600610096,15.915446767595245,28,8
279,ROUTER,0.34393612195700474,-0.4476876091007973,1.1538452488836195,16.14514689890934,28,8
280,BASE,0.24825324392757198,-0.3195345436403346,0.9572889022396257,8.057638505357431,28,1
280,DIRECT,0.2533001275569269,-0.3195345436403345,0.9705202040133876,8.36946443201937,28,1
280,ROUTER,0.24825324392757198,-0.3195345436403346,0.9572889022396257,8.057638505357431,28,1
281,BASE,0.21754975155017875,-0.40543550257741245,0.8524780616429671,6.37425474934232,28,8
281,DIRECT,0.20668655400249958,-0.40543550257741245,0.8159298703730554,5.858729362786383,28,8
281,ROUTER,0.20905450162350414,-0.40543550257741245,0.8249702042332352,5.967812245345576,28,8
282,BASE,0.2580729418811569,-0.4107953927508319,0.9872301862419939,8.674233345177196,28,6
282,DIRECT,0.26135839307242925,-0.4107953927508319,0.9959411403097027,8.889751219997837,28,6
282,ROUTER,0.2574304196111741,-0.4107953927508319,0.9857563640939409,8.632635554273493,28,6
283,BASE,0.3106007973164777,-0.3801485113332205,1.010391664201926,12.74664591397872,28,3
283,DIRECT,0.30976508698048755,-0.38014851133322025,1.0066937504140616,12.670366673618071,28,3
283,ROUTER,0.3061757678919734,-0.38014851133322025,0.9986996310283758,12.347370320646284,28,3
284,BASE,0.08116958464549362,-0.4704561344892654,0.4183948908333272,2.0842058526400633,28,10
284,DIRECT,0.07216918328882183,-0.5192600465445636,0.3856248155624345,1.9265382581408346,28,10
284,ROUTER,0.07725729335416531,-0.4961213199995256,0.40392001965127855,2.014307353151796,28,10
285,BASE,0.19771861989224826,-0.37668113099357614,0.7661840847392882,5.461578032742286,28,11
285,DIRECT,0.19512890993479992,-0.3866622219416952,0.7478437444766236,5.351460037828802,28,11
285,ROUTER,0.19538234712747315,-0.38666222194169597,0.7528159710292686,5.362148235672257,28,11
286,BASE,0.23690414850504982,-0.32885223519058226,0.8875576544852426,7.394036021664202,28,1
286,DIRECT,0.24037625686440656,-0.3288522351905827,0.8960525763900393,7.591669128514533,28,1
286,ROUTER,0.23690414850504982,-0.32885223519058226,0.8875576544852426,7.394036021664202,28,1
287,BASE,0.07168316567326705,-0.5524790662888164,0.39345526377686457,1.918336103592266,28,9
287,DIRECT,0.0658508406394065,-0.5894565496557695,0.36965480881448715,1.8223141027277068,28,9
287,ROUTER,0.0632427530519093,-0.5758618021129962,0.3628226039838192,1.7807829798599926,28,9
288,BASE,0.18463389203628777,-0.33485803853359664,0.8047654977731596,4.925228467479107,28,9
288,DIRECT,0.18504027661909062,-0.33485803853359664,0.79915081918963,4.941150382859946,28,9
288,ROUTER,0.19020557134990423,-0.3348580385335965,0.8193792345499161,5.147570502176631,28,9
289,BASE,0.1458065760969398,-0.30884936974990473,0.6460207352820894,3.599457307059158,28,7
289,DIRECT,0.1400997592669051,-0.3088493697499045,0.622736727010961,3.4342496773451363,28,7
289,ROUTER,0.14710726590680112,-0.3088493697499045,0.6475513254955053,3.63809068543061,28,7
290,BASE,0.24449101875214563,-0.3724264226710621,0.9936422628896077,7.831985501230038,28,1
290,DIRECT,0.2513439365611734,-0.3724264226710621,1.0139709210302836,8.24734229824681,28,1
290,ROUTER,0.24449101875214563,-0.3724264226710621,0.9936422628896077,7.831985501230038,28,1
291,BASE,0.19859880480622527,-0.3351604880040302,0.8566120294417906,5.499463180313779,28,5
291,DIRECT,0.20437061353339225,-0.3351604880040311,0.8713667775605184,5.75376951720209,28,5
291,ROUTER,0.19520327098013812,-0.3351604880040311,0.8427599598524668,5.354594088095817,28,5
292,BASE,0.4791233362963392,-0.3083145332094074,1.4876849575234776,39.78690319013582,28,6
292,DIRECT,0.4696139204355809,-0.3144153162591612,1.4551793394861499,37.443936856580194,28,6
292,ROUTER,0.4663526579519466,-0.3144153162591612,1.4596491565995122,36.669289511322596,28,6
293,BASE,0.027321703354121762,-0.5945495306993319,0.25323042802868945,1.2887175368086368,28,10
293,DIRECT,0.02320501445888512,-0.6174000759381649,0.2435938457645721,1.2409336487069427,28,10
293,ROUTER,0.02744760134389801,-0.6042399976979405,0.2541031229971018,1.2902044416986465,28,10
294,BASE,0.24831551389939088,-0.36335396568487843,0.9331691174039318,8.061421747650838,28,8
294,DIRECT,0.25750875372086934,-0.37388421638138714,0.9484225849807699,8.637697452780905,28,8
294,ROUTER,0.24563122525732073,-0.37388421638138714,0.9215875880996374,7.899769419378149,28,8
295,BASE,0.15938343632396101,-0.3117474482860434,0.7469902600752492,4.02139275526149,28,10
295,DIRECT,0.1498884865943899,-0.31174744828604317,0.7058404002884944,3.7219450963268,28,10
295,ROUTER,0.1588755987128634,-0.31174744828604317,0.7408334876996842,4.00484786937616,28,10
296,BASE,0.3312204149096649,-0.26408422654747055,1.3084054914887708,14.76356902641018,28,9
296,DIRECT,0.3409442023421314,-0.264084226547471,1.33085175728152,15.8100731758663,28,9
296,ROUTER,0.34067749891137833,-0.2640842265474711,1.3370163878514072,15.78050817533828,28,9
297,BASE,0.22533779762167594,-0.39162602190597373,0.8457327153053142,6.768411563105476,28,5
297,DIRECT,0.22417452896650292,-0.37817730888417345,0.841280553051462,6.708187900150882,28,5
297,ROUTER,0.2232072643881231,-0.39162602190597384,0.8387491899860825,6.658476735405501,28,5
298,BASE,0.2759381869946258,-0.29773428045523476,1.044852198879663,9.905037979068684,28,4
298,DIRECT,0.2727371626171593,-0.29773428045523487,1.0282005065580337,9.673657071018793,28,4
